date,opponent,name,goals
1955-02-05,Army,Unknown,4
1960-03-02,Providence,Unknown,7
1961-03-03,Norwich,Unknown,4
1961-12-01,Providence,Unknown,1
1962-02-15,Providence,Unknown,5
1962-02-24,St. Lawrence,Unknown,1
1963-01-12,Rensselaer,Unknown,3
1963-02-23,Army,Unknown,3
1963-11-30,Princeton,Unknown,2
1964-03-04,Providence,Unknown,1
1965-02-06,Army,Unknown,5
1966-03-12,Brown,Unknown,5
1968-02-07,Brown,Unknown,2
1968-02-17,Army,Unknown,2
1968-12-03,Brown,Unknown,4
1969-02-13,Providence,Unknown,7
1969-12-29,Northeastern,Unknown,2
1970-01-31,Dartmouth,Unknown,5
1973-02-24,Colgate,Unknown,4
1973-12-29,Rensselaer,Unknown,2
1974-01-05,St. Lawrence,Unknown,4
1974-01-12,Brown,Unknown,2
1974-02-16,Rensselaer,Unknown,9
1975-12-04,Dartmouth,Unknown,2
1977-01-29,St. Lawrence,Unknown,6
1977-02-26,Boston College,Unknown,3
1977-12-03,New Hampshire,Unknown,3
1978-01-07,Princeton,Unknown,3
1978-02-25,Colgate,Unknown,6
1978-11-18,Toronto,Unknown,7
1979-01-13,Colgate,Unknown,2
1981-01-24,St. Lawrence,Unknown,6
1987-03-03,UMass Lowell,Unknown,7
1992-02-29,Merrimack,Unknown,2
1993-01-16,Boston College,Unknown,7
1993-02-13,Merrimack,Unknown,2
1994-01-04,UMass Lowell,Unknown,1
